DECAY WIDTH COMPARISON 
model: mssm 
##################################################
Particle ID    card value     apprx. value  ratio
         12    0.0000e+00     stable        1
         14    0.0000e+00     stable        1
         16    0.0000e+00     stable        1
         11    0.0000e+00     stable        1
         13    0.0000e+00     stable        1
         15    0.0000e+00     8.6381e-12    N/A
          2    0.0000e+00     stable        1
          4    0.0000e+00     stable        1
          6    1.5619e+00     3.4257e+00    2.19
          1    0.0000e+00     stable        1
          3    0.0000e+00     stable        1
          5    0.0000e+00     stable        1
    1000022    0.0000e+00     0.0000e+00    N/A
    1000023    2.0777e-02     2.5373e-02    1.22
    1000025    1.9160e+00     2.3314e+00    1.22
    1000035    2.5859e+00     2.6483e+00    1.02
    1000024    1.7041e-02     2.8021e-02    1.64
    1000037    2.4869e+00     2.9496e+00    1.19
    1000021    5.5068e+00     2.4154e+02    43.86
    1000012    1.4988e-01     1.4988e-01    1.00
    1000014    1.4988e-01     1.4988e-01    1.00
    1000016    1.4752e-01     1.4834e-01    1.01
    1000011    2.1368e-01     2.1368e-01    1.00
    1000013    2.1368e-01     2.1368e-01    1.00
    1000015    1.4833e-01     1.5294e-01    1.03
    2000011    2.1612e-01     2.1612e-01    1.00
    2000013    2.1612e-01     2.1612e-01    1.00
    2000015    2.6991e-01     2.7624e-01    1.02
    1000002    5.4772e+00     1.6432e+01    3.00
    1000004    5.4772e+00     1.6432e+01    3.00
    1000006    2.0216e+00     7.2274e+00    3.58
    2000002    1.1530e+00     3.4589e+00    3.00
    2000004    1.1530e+00     3.4589e+00    3.00
    2000006    7.3731e+00     2.2509e+01    3.05
    1000001    5.3128e+00     1.5938e+01    3.00
    1000003    5.3128e+00     1.5938e+01    3.00
    1000005    3.7363e+00     1.2875e+01    3.45
    2000001    2.8581e-01     8.5744e-01    3.00
    2000003    2.8581e-01     8.5744e-01    3.00
    2000005    8.0157e-01     2.0441e+00    2.55
         25    1.9861e-03     5.4256e-03    2.73
         35    5.7480e-01     2.1843e+00    3.80
         36    6.3218e-01     2.1926e+00    3.47
         37    5.4696e-01     1.6206e+00    2.96
         22    0.0000e+00     stable        1
         23    2.4114e+00     5.2416e+00    2.17
         24    2.0028e+00     4.6741e+00    2.33
         21    0.0000e+00     stable        1
