###########     #June 2024##only S-wave#
#ONIA FILE# 	#pdg_code = Pythia code#
###########	#to add: mg5 pdg_code!#
		
pid		name			notation	particle	anti-particle	spectroscopy	spinType	charge	color	mass		width		mMin		mMax

441		etac			c.c~(1S01)	c		c~			1001			1 		0		1	2.98100	0.02970 	2.78040 	3.18040

443		jpsi			c.c~(3S11)	c		c~			3011			3 		0		1	3.09692 	0.00009 	3.09602 	3.09782

100443	psi(2s) 		c.c~(3S11)	c		c~			3011			3		0		1	3.68611 	0.00030 	3.68269 	3.68949

9940001	etac(3s1(8))	c.c~(1S08)	c		c~			1008			1 		0 		8	3.18100 	0.0 		3.18100 	3.18100

9940003	jpsi(3s1(8))	c.c~(3S18)	c		c~			3018			3 		0		8	3.29692	0.0 		3.29692 	3.29692

9940103	psi(2s)(3s1(8))	c.c~(3S18)	c		c~			3018			3		0 		8	3.88611 	0.0 		3.88611 	3.88611

551		etab 			b.b~(1S01)	b		b~			1001			1 		0 		1	9.40000 	0.010 	9.30000 	9.50000

553		upsilon 		b.b~(3S11)	b		b~			3011			3 		0 		1	9.46030 	0.00005 	9.45980 	9.46080

9950001	etab(3s1(8)) 	b.b~(1S08)?	b		b~			1008			1 		0 		8	9.60000 	0.0 		9.60000 	9.60000

9950003 	upsilon(3s1(8)) 	b.b~(3S18)	b		b~			3018			3 		0 		8	9.6603	0.0 		9.6603 	9.6603
